user_score,publisher,rating,title,metascore,platform,genre,developer
6.1,Finish Line Games,T,Cel Damage HD,58,PS4,"Simulation,Driving,Racing,Vehicle,Kart,Combat",Finish Line Games
6.7,Square Enix,T,Final Fantasy XIV Online: A Realm Reborn,86,PS4,"Fantasy,Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy",Square Enix
5.3,Zen Studios,E10+,Star Wars Pinball: Heroes Within,80,PS4,"Action,Miscellaneous,Parlor,Pinball",Zen Studios
7.2,Ubisoft,E10+,Trials Fusion,79,PS4,"Driving,Racing,Arcade,Motorcycle,Automobile,Street,Street",RedLynx
6.8,"Young Horses, Inc",E10+,Octodad: Dadliest Catch,69,PS4,"Modern,Adventure,3D,Third-Person,Modern",Kevin Zuhn
5.3,Activision,T,The Amazing Spider-Man 2,49,PS4,"Action,Action Adventure,General,General,Open-World",Beenox
4.6,Atlus,M,Daylight,48,PS4,"Horror,Action Adventure,Horror,Survival",Zombie Studios
6.3,Die Gute Fabrik,E10+,Sportsfriends,82,PS4,"Sports,Miscellaneous,General,Party,Party / Minigame",Die Gute Fabrik
8.0,Ubisoft,E10+,Child of Light,82,PS4,"Action,General,General,Role-Playing,General",Ubisoft Montreal
6.2,Curve Studios,E,Titan Attacks!,74,PS4,"Action,Platformer,Shooter,2D,Static,Shoot-'Em-Up,Top-Down,Vertical",Puppy Games
6.7,Ripstone,T,Stick it to the Man!,75,PS4,"Action,Platformer,3D",Zoink!
5.9,Focus Home Interactive,M,Bound by Flame,53,PS4,"Role-Playing,Action RPG",Spiders
8.1,Bethesda Softworks,M,Wolfenstein: The New Order,79,PS4,"General,Shooter,Historic,Action,Shooter,First-Person,Historic,Arcade",MachineGames
5.7,10tons Ltd,E,Sparkle 2,66,PS4,"Action,Puzzle,General,Matching","10tons Ltd, 10tons"
6.0,Team 17,E10+,Worms Battlegrounds,62,PS4,"Strategy,Turn-Based,Wargame,Artillery",Team 17
8.2,Supergiant Games,T,Transistor,83,PS4,"Role-Playing,Action RPG,Action RPG",Supergiant Games
7.2,Double Eleven,E,PixelJunk Shooter Ultimate,82,PS4,"Action,Shooter,Scrolling,Shoot-'Em-Up,Vertical",Double Eleven
6.9,Square Enix,M,Murdered: Soul Suspect,59,PS4,"Action,Action Adventure,General,Horror,Survival",Airtight Games
6.4,Ubisoft,M,Watch Dogs,80,PS4,"Modern,Action Adventure,General,Modern,Open-World",Ubisoft Montreal
7.7,SCEA,E,MLB 14: The Show,83,PS4,"Sports,Traditional,Team,Baseball,Sim,Sim",SCEA San Diego Studios
6.6,Nicalis,T,1001 Spikes,78,PS4,"Action,Platformer,Platformer,2D,2D",Nicalis
6.0,Gaijin Entertainment,T,War Thunder,76,PS4,"Action,Simulation,General,Flight,Vehicle,Combat",Gaijin Entertainment
6.6,SCEA,E,Entwined,59,PS4,"Action,General,Arcade",Pixel Opus
6.0,Focus Home Interactive,M,Blue Estate,49,PS4,"Action,Shooter,Light Gun,Rail",HeSaw
6.9,SCEA,M,Killzone: Shadow Fall - Intercept,72,PS4,"Action,Shooter,First-Person,Sci-Fi,Arcade",Guerrilla
6.1,Electronic Arts,T,EA Sports UFC,70,PS4,"General,Sports,General,Individual,Combat,Boxing / Martial Arts",EA Sports
8.3,Ubisoft,T,Valiant Hearts: The Great War,77,PS4,"Platformer,2D,Action,Platformer,2D",Ubisoft Montpellier
7.4,SCEA,E10+,Resogun: Heroes,86,PS4,"Action,Shooter,Scrolling,Shoot-'Em-Up,Horizontal",Housemarque
4.3,Activision,T,Transformers: Rise of the Dark Spark,43,PS4,"Action Adventure,Sci-Fi,General",Edge of Reality
7.7,DrinkBox Studios,E10+,Guacamelee! Super Turbo Championship Edition,87,PS4,"Action,Platformer,2D",DrinkBox Studios
5.9,The Digital Lounge,T,Another World: 20th Anniversary Edition,53,PS4,"Action,Adventure,General,Platformer,2D",The Digital Lounge
7.0,505 Games,M,Sniper Elite III,67,PS4,"Shooter,Historic,Action,Shooter,Third-Person,Tactical,Historic",Rebellion
5.6,Curve Studios,E,MouseCraft,72,PS4,"Miscellaneous,Puzzle,Action,General",Crunching Koalas
6.2,10tons Ltd,T,Crimsonland,64,PS4,"Action,Shooter,Scrolling,Shoot-'Em-Up,Top-Down,Vertical","10tons Entertainment, 10tons"
5.3,Focus Home Interactive,E,Tour de France 2014,53,PS4,"Sports,Alternative,Individual,Biking",Cyanide
7.8,Oddworld Inhabitants,T,Oddworld: Abe's Oddysee - New 'n' Tasty,84,PS4,"Platformer,2D,Action,Platformer,2D",Just Add Water
7.1,Ripstone,E,Pure Pool,75,PS4,"Alternative,Other,Sports,Miscellaneous,Parlor,Individual,Billiards",VooFoo Studios
9.1,SCEA,M,The Last of Us Remastered,95,PS4,"Action Adventure,General,Modern",Naughty Dog
7.7,Cellar Door Games,E10+,Rogue Legacy,85,PS4,"Action,Platformer,Platformer,2D,2D",Cellar Door Games
5.6,Spry Fox,E,Road Not Taken,70,PS4,"Miscellaneous,General,Puzzle,Puzzle,General",Spry Fox
5.1,Bossa Studios,T,Surgeon Simulator: Anniversary Edition,56,PS4,"Simulation,General,Virtual,Career",Bossa Studios
7.7,Curve Studios,E10+,The Swapper,83,PS4,"Action,Platformer,2D",Facepalm Games
6.0,LOOT Entertainment,E10+,The Last Tinker: City of Colors,66,PS4,"Action,Platformer,3D",LOOT Entertainment
6.3,SCEA,E10+,Hohokum,75,PS4,"General,Adventure,General",Honeyslug Ltd
6.4,HB Studios Multimedia,E,The Golf Club,66,PS4,"Traditional,Sports,Individual,Golf,Sim",HB Studios Multimedia
7.4,SCEA,T,inFamous: First Light,73,PS4,"Action Adventure,Sci-Fi,Open-World",Sucker Punch
7.5,Electronic Arts,E10+,Plants vs Zombies: Garden Warfare,75,PS4,"Action,General,Shooter,Third-Person,Tactical",PopCap
6.7,SCEA,T,CounterSpy,67,PS4,"Action,General",Dynamighty
6.0,Zen Studios,E10+,ZEN Pinball 2: The Walking Dead,83,PS4,"Action,Miscellaneous,Parlor,Pinball",Zen Studios
8.0,Blizzard Entertainment,M,Diablo III: Ultimate Evil Edition,90,PS4,"Action RPG,Role-Playing,Action RPG",Blizzard Entertainment
7.3,Watermelon,T,Pier Solar and the Great Architects,69,PS4,"Role-Playing,Console-style RPG,Japanese-Style",Watermelon Development
7.4,Focus Home Interactive,M,Sherlock Holmes: Crimes & Punishments,73,PS4,"Adventure,General",Frogwares
