user_ranking,user_name,game_platform,user_average_ranking,game_title
4,redmandana,PlayStation 4,6.9,No Man's Sky
6,WizardVReaper,PlayStation 4,0.0,Bloodborne
0,WizardVReaper,PlayStation 4,0.0,Aaru's Awakening
4,jquincy,Xbox 360,6.9,Madden NFL 11
10,jquincy,PC,6.9,Total War: Shogun 2 - Fall of the Samurai
3,jquincy,PlayStation 4,6.9,Super Mega Baseball
7,jquincy,PlayStation 3,6.9,Oddworld: Abe's Oddysee - New 'n' Tasty
3,Rox22,Xbox 360,7.2,Fable II Pub Games
2,Rox22,Xbox 360,7.2,Minesweeper Flags
8,Rox22,Xbox 360,7.2,Spider-Man: Shattered Dimensions
7,Rox22,Xbox 360,7.2,Thrillville: Off the Rails
7,Rox22,PlayStation 2,7.2,Champions of Norrath
6,Rox22,Xbox 360,7.2,Batman: Arkham Origins
7,Rox22,Xbox 360,7.2,Assassin's Creed
9,Rox22,Xbox 360,7.2,Assassin's Creed II
8,Rox22,Xbox 360,7.2,Assassin's Creed: Brotherhood
7,jquincy,PC,6.9,Oddworld: Abe's Oddysee - New 'n' Tasty
7,jquincy,Xbox One,6.9,Oddworld: Abe's Oddysee - New 'n' Tasty
8,Rox22,Xbox 360,7.2,Assassin's Creed: Revelations
7,jquincy,PlayStation 4,6.9,Oddworld: Abe's Oddysee - New 'n' Tasty
9,Rox22,PC,7.2,Doom II
6,Rox22,Xbox,7.2,Doom 3
7,Rox22,PC,7.2,King's Quest Collection
8,Rox22,PC,7.2,Gray Matter
9,Rox22,PC,7.2,Duke Nukem 3D
6,Rox22,PlayStation 2,7.2,Resident Evil Outbreak
5,Rox22,PlayStation 2,7.2,Resident Evil Outbreak File #2
9,Rox22,Xbox 360,7.2,Stacking
8,Rox22,Xbox 360,7.2,Outpost Kaloki X
8,Rox22,Xbox 360,7.2,Pinball FX 2
9,Nejo-Goldsmith,PlayStation 4,0.0,Oddworld: Abe's Oddysee - New 'n' Tasty
7,JordanWarlow,PC,8.1,Shelter 2
8,Rox22,PlayStation 2,7.2,Fatal Frame III: The Tormented
8,Rox22,Xbox 360,7.2,Beautiful Katamari
9,Rox22,PC,7.2,Command & Conquer
7,Rox22,PC,7.2,Command & Conquer: Tiberian Sun
8,Rox22,Xbox 360,7.2,Command & Conquer 3: Tiberium Wars
6,Rox22,Xbox 360,7.2,Command & Conquer 3: Kane's Wrath
9,Rox22,PC,7.2,Command & Conquer: Red Alert
9,Rox22,Xbox 360,7.2,Doom
7,Rox22,PlayStation 2,7.2,Magna Carta: Tears of Blood
10,TroggHugger,PlayStation 4,9.2,Oddworld: Abe's Oddysee - New 'n' Tasty
10,kevgt8957,PlayStation 4,7.5,Oddworld: Abe's Oddysee - New 'n' Tasty
10,GaboAmorim,PC,8.5,Game Dev Tycoon
4,Rox22,Xbox 360,7.2,Girl Fight
8,GaboAmorim,PlayStation 4,8.5,Oddworld: Abe's Oddysee - New 'n' Tasty
10,Gabriel192,PlayStation 4,0.0,Oddworld: Abe's Oddysee - New 'n' Tasty
8,JordanWarlow,PlayStation 4,8.1,Oddworld: Abe's Oddysee - New 'n' Tasty
6,Rox22,PlayStation 2,7.2,Mafia
8,Rox22,PlayStation 2,7.2,Twisted Metal: Black
5,Rox22,Xbox 360,7.2,Mafia II
8,Rox22,PlayStation,7.2,Silent Hill
9,Rox22,PlayStation 2,7.2,Silent Hill 2
8,Rox22,PlayStation 2,7.2,Silent Hill 3
7,Rox22,PlayStation 2,7.2,Silent Hill 4: The Room
7,Rox22,Xbox 360,7.2,Silent Hill: Homecoming
8,Rox22,PlayStation 2,7.2,Fatal Frame
9,Rox22,PlayStation 2,7.2,Fatal Frame II: Crimson Butterfly
9,JordanWarlow,PC,8.1,The Witcher 3: Wild Hunt
8,Rox22,PlayStation 2,7.2,Final Fantasy X-2
7,Rox22,PlayStation 2,7.2,Final Fantasy XII
8,Rox22,Xbox 360,7.2,Final Fantasy XIII
6,Rox22,Xbox 360,7.2,Final Fantasy XIII-2
5,Rox22,PlayStation 2,7.2,Dirge of Cerberus: Final Fantasy VII
3,Rox22,PlayStation 2,7.2,Stella Deus: The Gate of Eternity
8,Rox22,PlayStation 2,7.2,Mercenaries
7,Rox22,Xbox 360,7.2,Mercenaries 2: World in Flames
8,Rox22,PlayStation 2,7.2,Legaia 2: Duel Saga
6,Swiskon,PlayStation 4,4.3,Crimsonland
7,Dietrich_,PlayStation 4,3.7,No Man's Sky
2,Swiskon,PlayStation Vita,4.3,Monster Monpiece
8,Concretenomad,PlayStation 4,8.0,Sniper Elite III
9,muzzer1234,PlayStation 4,0.0,Sniper Elite III
6,ojs152000,PlayStation 4,0.0,FIFA 15
7,Rox22,PlayStation 2,7.2,Atelier Iris 2: The Azoth of Destiny
5,Rox22,PlayStation 2,7.2,Futurama
6,Rox22,Xbox 360,7.2,Dungeon Siege III
6,Rox22,PC,7.2,Dungeon Keeper 2
5,Rox22,PlayStation 2,7.2,Dark Cloud
9,Rox22,PlayStation 2,7.2,Dark Cloud 2
8,Rox22,PC,7.2,Final Fantasy VII
8,Rox22,PC,7.2,Final Fantasy VIII
9,Rox22,PlayStation,7.2,Final Fantasy IX
8,Rox22,PlayStation 2,7.2,Final Fantasy X
8,ojs152000,PlayStation 4,0.0,Sniper Elite III
9,ojs152000,PlayStation 4,0.0,Wolfenstein: The New Order
8,Nathan1423,PlayStation 4,7.1,Sniper Elite III
10,Nathan1423,PlayStation 4,7.1,Masquerade: The Baubles of Doom
