user_score,publisher,rating,title,metascore,platform,genre,developer
5.8,Capcom,T,Dungeons & Dragons: Chronicles of Mystara,77,"Xbox 360,PC,PlayStation 3,Wii U","Action,Miscellaneous,Beat-'Em-Up,Compilation",Iron Galaxy Studios
5.8,MileStone Inc.,E,MotoGP 13,72,"Xbox 360,PC,PlayStation 3,PlayStation Vita","Driving,Racing,Motorcycle,Motocross",MileStone Inc.
7.4,Activision,M,Deadpool,62,"Xbox 360,PC,PlayStation 3,PlayStation 4,Xbox One","Fighting,3D,Action,Beat-'Em-Up,Shooter,Beat-'Em-Up,Third-Person,3D,Arcade",High Moon Studios
1.2,Deep Silver,M,Ride to Hell: Retribution,19,"Xbox 360,PC,PlayStation 3","Driving,Action Adventure,Modern,Racing,General,Modern,Motorcycle,Motocross","Eutechnyx, Deep Silver"
8.4,2K Games,M,Borderlands 2: Tiny Tina's Assault on Dragon Keep,86,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Gearbox Software
5.2,Microsoft Game Studios,T,Magic: Duels of the Planeswalkers 2014,83,"Xbox 360,PC,PlayStation 3","Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",Stainless Games
5.3,Ubisoft,M,Spartacus Legends,45,"Xbox 360,PlayStation 3","Action,General,Fighting,Fighting,3D,3D",Kung Fu Factory
5.8,D3Publisher,E,Doodle Jump for Kinect,49,Xbox 360,"Action,Platformer,Platformer,2D,2D","Lima Sky, Smoking Gun Interactive Inc., Smoking Gun Interactive"
3.9,Activision,M,Call of Duty: Black Ops II - Vengeance,69,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",Treyarch
6.7,UFO Interactive,M,Scourge: Outbreak,40,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Tragnarion Studios
7.1,Namco Bandai Games,T,CAPSIZED,74,"Xbox 360,PC","Action,General,Platformer,Platformer,2D,2D",Koolhaus Games
7.7,Telltale Games,M,The Walking Dead: 400 Days,80,"Xbox 360,iPhone/iPad,PC,PlayStation 3,PlayStation Vita","Action,Miscellaneous,Adventure,General,Compilation,Point-and-Click",Telltale Games
5.9,EA Sports,E,NCAA Football 14,77,"Xbox 360,PlayStation 3","Sports,Traditional,Team,Football,Sim,Sim",EA Tiburon
4.8,Yuke's,E10+,Pacific Rim,39,"Xbox 360,iPhone/iPad,PlayStation 3","Action,General,General",Yuke's
4.1,Kalypso,M,DARK,38,"Xbox 360,PC","Action Adventure,Modern,General,Modern,Linear",Kalypso
3.4,Atlus,T,R.I.P.D. The Game,39,"Xbox 360,PC,PlayStation 3","Action,General,General,Shooter,Third-Person,Sci-Fi,Arcade",Old School Games
7.5,Tecmo Koei America Corp.,T,Dynasty Warriors 8,65,"Xbox 360,PlayStation 3","Action,Beat-'Em-Up,Beat-'Em-Up,3D",Omega Force
7,Focus Home Interactive,M,Mars: War Logs,61,"Xbox 360,PC,PlayStation 3","Role-Playing,Action RPG,Action RPG",Spiders
6.1,Atlus,T,Zeno Clash II,65,"Xbox 360,PC,PlayStation 3","Action,Role-Playing,Adventure,Action RPG,Beat-'Em-Up,Action RPG,3D,First-Person,Fantasy",ACE Team
7,Ubisoft,T,Cloudberry Kingdom,68,"Xbox 360,PC,PlayStation 3,Wii U","Action,Platformer,Platformer,2D,2D",Pwnee Studios
5.8,2K Games,RP,BioShock Infinite: Clash in the Clouds,68,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Irrational Games
5.9,Deep Silver,M,Narco Terror,50,"Xbox 360,PC,PlayStation 3","Action,General,General,Shooter,Third-Person,Modern,Arcade",Koch Media
8.7,505 Games,T,Brothers: A Tale of Two Sons,86,"Xbox 360,iPhone/iPad,PC,PlayStation 3,PlayStation 4,Xbox One","Action Adventure,Fantasy,Fantasy,Linear",Starbreeze
7.6,Bethesda Softworks,M,Dishonored: The Brigmore Witches,81,"Xbox 360,PC,PlayStation 3","Action Adventure,Modern,General,Modern",Arkane Studios
6.7,Microsoft Game Studios,M,Charlie Murder,78,"Xbox 360,PC","Action,Beat-'Em-Up,Beat-'Em-Up,2D",Ska Studios
6.3,505 Games,M,Payday 2,75,"Xbox 360,PC,PlayStation 3,PlayStation 4,Switch,Xbox One","Action,Shooter,Shooter,First-Person,Fantasy,General,Fantasy,Arcade",Overkill Software
6.7,Disney Interactive Studios,E10+,Disney Infinity,74,"Xbox 360,3DS,PC,PlayStation 3,Wii U","Action Adventure,Fantasy,General,Fantasy",Avalanche Software
6.5,Deep Silver,M,Saints Row IV,81,"Xbox 360,PC,PlayStation 3","Action Adventure,Modern,Modern,Open-World",Volition Inc.
7.5,Ubisoft,M,Tom Clancy's Splinter Cell: Blacklist,82,"Xbox 360,PC,PlayStation 3,Wii U","Action Adventure,Modern,General,Modern",Ubisoft Toronto
6.7,2K Games,M,The Bureau: XCOM Declassified,68,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,First-Person,Third-Person,Sci-Fi,Sci-Fi,Tactical,Arcade",2K Marin
4.8,Ubisoft,T,Flashback,50,"Xbox 360,PC,PlayStation 3","General,Action,Platformer,Platformer,2D,2D",Ubisoft
5.7,Activision,M,Call of Duty: Black Ops II - Apocalypse,70,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,First-Person,Historic,Modern,Arcade",Treyarch
5.8,Capcom,T,Lost Planet 3,58,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",Spark Unlimited
5.6,Electronic Arts,E,Madden NFL 25,80,"Xbox 360,iPhone/iPad,PlayStation 3,PlayStation 4,Xbox One","Sports,Traditional,Team,Football,Arcade,Arcade,Sim",EA Sports
7.1,XSEED Games,M,Killer Is Dead,64,"Xbox 360,PC,PlayStation 3","Action Adventure,Modern,Sci-Fi,General",Grasshopper Manufacture
5.3,Activision,T,Teenage Mutant Ninja Turtles: Out of the Shadows,38,"Xbox 360,PC,PlayStation 3","Action,Beat-'Em-Up,Beat-'Em-Up,3D",Red Fly Studio
6.7,Blizzard Entertainment,M,Diablo III,87,"Xbox 360,PC,PlayStation 3","Role-Playing,Action RPG,Action RPG",Blizzard Entertainment
7.5,Tecmo Koei America Corp.,M,Dead or Alive 5 Ultimate,75,"Xbox 360,PlayStation 3","Action,Fighting,Fighting,3D,3D",Team Ninja
8.2,Ubisoft,E10+,Rayman Legends,90,"Xbox 360,PC,PlayStation 3,PlayStation 4,PlayStation Vita,Wii U,Xbox One","Action,Platformer,Platformer,2D,2D",Ubisoft Montpellier
2.8,Deep Silver,E,Freefall Racers,57,Xbox 360,"Driving,Racing,General,General","Smoking Gun Interactive Inc., Smoking Gun Interactive"
5.9,Electronic Arts,E10+,NHL 14,81,"Xbox 360,PlayStation 3","Sports,Traditional,Team,Ice Hockey,Sim,Sim",Electronic Arts
7.1,Sega,E,Disney Castle of Illusion starring Mickey Mouse,67,"Xbox 360,iPhone/iPad,PC,PlayStation 3","Action,Platformer,Platformer,2D,2D",Sega
7.1,Capcom,E,Disney DuckTales Remastered,70,"Xbox 360,iPhone/iPad,PC,PlayStation 3,Wii U","Action,Platformer,Platformer,2D,2D",WayForward
6.4,Mastertronic,E10+,Foul Play,69,"Xbox 360,PC,PlayStation 4,PlayStation Vita","Action,Beat-'Em-Up,Beat-'Em-Up,2D",Mediatonic
8.3,Rockstar Games,M,Grand Theft Auto V,97,"Xbox 360,PC,PlayStation 3,PlayStation 4,Xbox One","Modern,Action Adventure,Modern,Open-World",Rockstar North
5.5,505 Games,M,Marlow Briggs and the Mask of Death,66,"Xbox 360,PC","Action,Action Adventure,General,General,Linear",ZootFly
4.2,Konami,E,Pro Evolution Soccer 2014,80,"Xbox 360,PC,PlayStation 3","Sports,Traditional,Team,Soccer,Sim,Sim",Konami
4.2,EA Sports,E,FIFA 14,84,"Xbox 360,3DS,iPhone/iPad,PC,PlayStation 3,PlayStation 4,PlayStation Vita,Wii U,Xbox One","Ice Hockey,Sim,Sports,Traditional,Team,Soccer,Sim,Sim",EA Canada
7.5,Namco Bandai Games America,T,Armored Core: Verdict Day,65,"Xbox 360,PlayStation 3","Simulation,Sci-Fi,Vehicle,Mech,Mech,Combat",From Software
5.4,Majesco Games,M,Girl Fight,34,"Xbox 360,PlayStation 3","Action,Fighting,Fighting,3D,3D","MicroProse, Kung Fu Factory"
7.6,Microsoft Game Studios,M,Ascend: Hand of Kul,68,"Xbox 360,PC","Action,General,General",Signal Studios
7.2,Aksys Games,E10+,A.R.E.S. Extinction Agenda EX,66,"Xbox 360,PC","Action,Platformer,Platformer,2D,3D,2D",ORiGO GAMES
5.9,Rockstar Games,M,Grand Theft Auto Online,80,"Xbox 360,PC,PlayStation 3,PlayStation 4,Xbox One","Action Adventure,Modern,Modern,Open-World",Rockstar North
