user_score,rating,title,metascore,platform,genre,developer
3.4,E,Zotrix,57,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",ZeroBit Games
6.3,E10+,Nuclear Throne,82,PS4,"General,Action,General,Shooter,Shoot-'Em-Up,Top-Down",Vlambeer
6.5,M,Assassin's Creed Syndicate: Jack the Ripper,72,PS4,"Action Adventure,Open-World",Ubisoft Quebec
5.4,E10+,King's Quest Chapter 2: Rubble Without a Cause,68,PS4,"Adventure,General",The Odd Gentlemen
7.3,E10+,Trine 3: The Artifacts of Power,65,PS4,"Action,Platformer,2D","Frozenbyte, Inc."
5.3,E10+,Hatoful Boyfriend: Holiday Star,58,PS4,"Adventure,General,Visual Novel","Mediatonic, Hato Moa"
5.3,E10+,Hardware: Rivals,56,PS4,"Simulation,Vehicle,Combat",SCEA
7.4,E,Amplitude,74,PS4,"Miscellaneous,Action,Rhythm,Music",Harmonix Music Systems
6.9,T,Rebel Galaxy,64,PS4,"Action,Action Adventure,General",Double Damage Games
6.2,E10+,Dogchild,71,PS4,"Action Adventure,General",Animatoon Studio
4.8,,Star Wars Pinball: The Force Awakens,81,PS4,"Action,Pinball",Zen Studios
4.5,M,Gone Home: Console Edition,85,PS4,"Adventure,3D,First-Person","The Fullbright Company, Midnight City"
